шаг;старт_день;длительность;код;погода
1;0;1;3;Пасмурно
2;1;1;3;Пасмурно
3;2;1;2;Облачно
4;3;1;1;Ясно
5;4;1;1;Ясно
6;5;1;1;Ясно
7;6;1;1;Ясно
8;7;1;2;Облачно
9;8;1;1;Ясно
10;9;1;1;Ясно
11;10;1;2;Облачно
12;11;1;1;Ясно
13;12;1;1;Ясно
14;13;1;3;Пасмурно
15;14;1;2;Облачно
16;15;1;2;Облачно
17;16;1;2;Облачно
18;17;1;3;Пасмурно
19;18;1;3;Пасмурно
20;19;1;3;Пасмурно
21;20;1;2;Облачно
22;21;1;1;Ясно
23;22;1;1;Ясно
24;23;1;1;Ясно
25;24;1;1;Ясно
26;25;1;2;Облачно
27;26;1;2;Облачно
28;27;1;2;Облачно
29;28;1;3;Пасмурно
30;29;1;3;Пасмурно
31;30;1;2;Облачно
32;31;1;1;Ясно
33;32;1;2;Облачно
34;33;1;3;Пасмурно
35;34;1;2;Облачно
36;35;1;3;Пасмурно
37;36;1;3;Пасмурно
38;37;1;3;Пасмурно
39;38;1;2;Облачно
40;39;1;2;Облачно
41;40;1;2;Облачно
42;41;1;3;Пасмурно
43;42;1;3;Пасмурно
44;43;1;2;Облачно
45;44;1;1;Ясно
46;45;1;1;Ясно
47;46;1;3;Пасмурно
48;47;1;3;Пасмурно
49;48;1;3;Пасмурно
50;49;1;3;Пасмурно
51;50;1;2;Облачно
52;51;1;3;Пасмурно
53;52;1;3;Пасмурно
54;53;1;3;Пасмурно
55;54;1;2;Облачно
56;55;1;3;Пасмурно
57;56;1;3;Пасмурно
58;57;1;1;Ясно
59;58;1;2;Облачно
60;59;1;3;Пасмурно
61;60;1;2;Облачно
62;61;1;2;Облачно
63;62;1;3;Пасмурно
64;63;1;2;Облачно
65;64;1;1;Ясно
66;65;1;3;Пасмурно
67;66;1;3;Пасмурно
68;67;1;1;Ясно
69;68;1;2;Облачно
70;69;1;1;Ясно
71;70;1;1;Ясно
72;71;1;1;Ясно
73;72;1;1;Ясно
74;73;1;2;Облачно
75;74;1;2;Облачно
76;75;1;1;Ясно
77;76;1;1;Ясно
78;77;1;1;Ясно
79;78;1;2;Облачно
80;79;1;2;Облачно
81;80;1;2;Облачно
82;81;1;1;Ясно
83;82;1;2;Облачно
84;83;1;2;Облачно
85;84;1;1;Ясно
86;85;1;2;Облачно
87;86;1;2;Облачно
88;87;1;2;Облачно
89;88;1;1;Ясно
90;89;1;1;Ясно
91;90;1;2;Облачно
92;91;1;2;Облачно
93;92;1;3;Пасмурно
94;93;1;2;Облачно
95;94;1;3;Пасмурно
96;95;1;3;Пасмурно
97;96;1;3;Пасмурно
98;97;1;3;Пасмурно
99;98;1;3;Пасмурно
100;99;1;3;Пасмурно
101;100;1;2;Облачно
102;101;1;2;Облачно
103;102;1;1;Ясно
104;103;1;2;Облачно
105;104;1;2;Облачно
106;105;1;3;Пасмурно
107;106;1;2;Облачно
108;107;1;2;Облачно
109;108;1;1;Ясно
110;109;1;1;Ясно
111;110;1;1;Ясно
112;111;1;1;Ясно
113;112;1;1;Ясно
114;113;1;1;Ясно
115;114;1;1;Ясно
116;115;1;2;Облачно
117;116;1;1;Ясно
118;117;1;1;Ясно
119;118;1;2;Облачно
120;119;1;3;Пасмурно
121;120;1;3;Пасмурно
122;121;1;3;Пасмурно
123;122;1;2;Облачно
124;123;1;3;Пасмурно
125;124;1;2;Облачно
126;125;1;2;Облачно
127;126;1;1;Ясно
128;127;1;1;Ясно
129;128;1;2;Облачно
130;129;1;3;Пасмурно
131;130;1;2;Облачно
132;131;1;3;Пасмурно
133;132;1;3;Пасмурно
134;133;1;3;Пасмурно
135;134;1;2;Облачно
136;135;1;2;Облачно
137;136;1;2;Облачно
138;137;1;2;Облачно
139;138;1;1;Ясно
140;139;1;2;Облачно
141;140;1;3;Пасмурно
142;141;1;2;Облачно
143;142;1;2;Облачно
144;143;1;1;Ясно
145;144;1;1;Ясно
146;145;1;1;Ясно
147;146;1;1;Ясно
148;147;1;2;Облачно
149;148;1;2;Облачно
150;149;1;3;Пасмурно
151;150;1;2;Облачно
152;151;1;2;Облачно
153;152;1;2;Облачно
154;153;1;1;Ясно
155;154;1;1;Ясно
156;155;1;2;Облачно
157;156;1;2;Облачно
158;157;1;1;Ясно
159;158;1;1;Ясно
160;159;1;1;Ясно
161;160;1;1;Ясно
162;161;1;3;Пасмурно
163;162;1;3;Пасмурно
164;163;1;2;Облачно
165;164;1;2;Облачно
166;165;1;2;Облачно
167;166;1;3;Пасмурно
168;167;1;2;Облачно
169;168;1;1;Ясно
170;169;1;1;Ясно
171;170;1;1;Ясно
172;171;1;3;Пасмурно
173;172;1;3;Пасмурно
174;173;1;2;Облачно
175;174;1;2;Облачно
176;175;1;1;Ясно
177;176;1;1;Ясно
178;177;1;1;Ясно
179;178;1;1;Ясно
180;179;1;1;Ясно
181;180;1;1;Ясно
182;181;1;1;Ясно
183;182;1;1;Ясно
184;183;1;1;Ясно
185;184;1;2;Облачно
186;185;1;2;Облачно
187;186;1;2;Облачно
188;187;1;2;Облачно
189;188;1;3;Пасмурно
190;189;1;3;Пасмурно
191;190;1;3;Пасмурно
192;191;1;1;Ясно
193;192;1;1;Ясно
194;193;1;1;Ясно
195;194;1;1;Ясно
196;195;1;1;Ясно
197;196;1;2;Облачно
198;197;1;2;Облачно
199;198;1;3;Пасмурно
200;199;1;3;Пасмурно
201;200;1;3;Пасмурно
202;201;1;1;Ясно
203;202;1;1;Ясно
204;203;1;2;Облачно
205;204;1;2;Облачно
206;205;1;1;Ясно
207;206;1;1;Ясно
208;207;1;3;Пасмурно
209;208;1;3;Пасмурно
210;209;1;3;Пасмурно
211;210;1;3;Пасмурно
212;211;1;3;Пасмурно
213;212;1;2;Облачно
214;213;1;2;Облачно
215;214;1;3;Пасмурно
216;215;1;2;Облачно
217;216;1;2;Облачно
218;217;1;1;Ясно
219;218;1;1;Ясно
220;219;1;1;Ясно
221;220;1;1;Ясно
222;221;1;1;Ясно
223;222;1;1;Ясно
224;223;1;1;Ясно
225;224;1;1;Ясно
226;225;1;2;Облачно
227;226;1;2;Облачно
228;227;1;2;Облачно
229;228;1;3;Пасмурно
230;229;1;3;Пасмурно
231;230;1;3;Пасмурно
232;231;1;1;Ясно
233;232;1;1;Ясно
234;233;1;1;Ясно
235;234;1;2;Облачно
236;235;1;2;Облачно
237;236;1;3;Пасмурно
238;237;1;3;Пасмурно
239;238;1;1;Ясно
240;239;1;1;Ясно
241;240;1;1;Ясно
242;241;1;1;Ясно
243;242;1;2;Облачно
244;243;1;3;Пасмурно
245;244;1;3;Пасмурно
246;245;1;3;Пасмурно
247;246;1;2;Облачно
248;247;1;2;Облачно
249;248;1;1;Ясно
250;249;1;1;Ясно
251;250;1;2;Облачно
252;251;1;1;Ясно
253;252;1;1;Ясно
254;253;1;1;Ясно
255;254;1;3;Пасмурно
256;255;1;3;Пасмурно
257;256;1;2;Облачно
258;257;1;1;Ясно
259;258;1;1;Ясно
260;259;1;2;Облачно
261;260;1;2;Облачно
262;261;1;1;Ясно
263;262;1;2;Облачно
264;263;1;2;Облачно
265;264;1;2;Облачно
266;265;1;3;Пасмурно
267;266;1;3;Пасмурно
268;267;1;3;Пасмурно
269;268;1;3;Пасмурно
270;269;1;3;Пасмурно
271;270;1;3;Пасмурно
272;271;1;3;Пасмурно
273;272;1;2;Облачно
274;273;1;3;Пасмурно
275;274;1;2;Облачно
276;275;1;2;Облачно
277;276;1;3;Пасмурно
278;277;1;2;Облачно
279;278;1;3;Пасмурно
280;279;1;1;Ясно
281;280;1;2;Облачно
282;281;1;2;Облачно
283;282;1;1;Ясно
284;283;1;1;Ясно
285;284;1;2;Облачно
286;285;1;2;Облачно
287;286;1;2;Облачно
288;287;1;2;Облачно
289;288;1;3;Пасмурно
290;289;1;3;Пасмурно
291;290;1;2;Облачно
292;291;1;2;Облачно
293;292;1;2;Облачно
294;293;1;2;Облачно
295;294;1;1;Ясно
296;295;1;2;Облачно
297;296;1;2;Облачно
298;297;1;2;Облачно
299;298;1;2;Облачно
300;299;1;2;Облачно
301;300;1;1;Ясно
302;301;1;1;Ясно
303;302;1;2;Облачно
304;303;1;1;Ясно
305;304;1;1;Ясно
306;305;1;1;Ясно
307;306;1;2;Облачно
308;307;1;1;Ясно
